id,name,country_id:id,code
__export__.res_country_state_711,Bagerhat,base.bd,Bagerhat
__export__.res_country_state_712,Bandarban,base.bd,Bandarban
__export__.res_country_state_713,Barguna,base.bd,Barguna
__export__.res_country_state_714,Barisal,base.bd,Barisal
__export__.res_country_state_715,Bhola,base.bd,Bhola
__export__.res_country_state_716,Bogra,base.bd,Bogra
__export__.res_country_state_717,Brahmanbaria,base.bd,Brahmanbaria
__export__.res_country_state_718,Chandpur,base.bd,Chandpur
__export__.res_country_state_719,Chittagong,base.bd,Chittagong
__export__.res_country_state_7110,Chuadanga,base.bd,Chuadanga
__export__.res_country_state_7111,Comilla,base.bd,Comilla
__export__.res_country_state_7112,Cox's Bazar,base.bd,Cox's Bazar
__export__.res_country_state_7113,Dhaka,base.bd,Dhaka
__export__.res_country_state_7114,Dinajpur,base.bd,Dinajpur
__export__.res_country_state_7115,Faridpur,base.bd,Faridpur
__export__.res_country_state_7116,Feni,base.bd,Feni
__export__.res_country_state_7117,Gaibandha,base.bd,Gaibandha
__export__.res_country_state_7118,Gazipur,base.bd,Gazipur
__export__.res_country_state_7119,Gopalganj,base.bd,Gopalganj
__export__.res_country_state_7120,Habiganj,base.bd,Habiganj
__export__.res_country_state_7121,Jaipurhat,base.bd,Jaipurhat
__export__.res_country_state_7122,Jamalpur,base.bd,Jamalpur
__export__.res_country_state_7123,Jessore,base.bd,Jessore
__export__.res_country_state_7124,Jhalakati,base.bd,Jhalakati
__export__.res_country_state_7125,Jhenaidah,base.bd,Jhenaidah
__export__.res_country_state_7126,Khagrachari,base.bd,Khagrachari
__export__.res_country_state_7127,Khulna,base.bd,Khulna
__export__.res_country_state_7128,Kishoreganj,base.bd,Kishoreganj
__export__.res_country_state_7129,Kurigram,base.bd,Kurigram
__export__.res_country_state_7130,Kushtia,base.bd,Kushtia
__export__.res_country_state_7131,Lakshmipur,base.bd,Lakshmipur
__export__.res_country_state_7132,Lalmonirhat,base.bd,Lalmonirhat
__export__.res_country_state_7133,Madaripur,base.bd,Madaripur
__export__.res_country_state_7134,Magura,base.bd,Magura
__export__.res_country_state_7135,Manikganj,base.bd,Manikganj
__export__.res_country_state_7136,Meherpur,base.bd,Meherpur
__export__.res_country_state_7137,Moulvibazar,base.bd,Moulvibazar
__export__.res_country_state_7138,Munshiganj,base.bd,Munshiganj
__export__.res_country_state_7139,Mymensingh,base.bd,Mymensingh
__export__.res_country_state_7140,Naogaon,base.bd,Naogaon
__export__.res_country_state_7141,Narail,base.bd,Narail
__export__.res_country_state_7142,Narayanganj,base.bd,Narayanganj
__export__.res_country_state_7143,Narsingdi,base.bd,Narsingdi
__export__.res_country_state_7144,Natore,base.bd,Natore
__export__.res_country_state_7145,Nawabganj,base.bd,Nawabganj
__export__.res_country_state_7146,Netrakona,base.bd,Netrakona
__export__.res_country_state_7147,Nilphamari,base.bd,Nilphamari
__export__.res_country_state_7148,Noakhali,base.bd,Noakhali
__export__.res_country_state_7149,Pabna,base.bd,Pabna
__export__.res_country_state_7150,Panchagarh,base.bd,Panchagarh
__export__.res_country_state_7151,Parbattya Chattagram,base.bd,Parbattya Chattagram
__export__.res_country_state_7152,Patuakhali,base.bd,Patuakhali
__export__.res_country_state_7153,Pirojpur,base.bd,Pirojpur
__export__.res_country_state_7154,Rajbari,base.bd,Rajbari
__export__.res_country_state_7155,Rajshahi,base.bd,Rajshahi
__export__.res_country_state_7156,Rangpur,base.bd,Rangpur
__export__.res_country_state_7157,Satkhira,base.bd,Satkhira
__export__.res_country_state_7158,Shariatpur,base.bd,Shariatpur
__export__.res_country_state_7159,Sherpur,base.bd,Sherpur
__export__.res_country_state_7160,Sirajganj,base.bd,Sirajganj
__export__.res_country_state_7161,Sunamganj,base.bd,Sunamganj
__export__.res_country_state_7162,Sylhet,base.bd,Sylhet
__export__.res_country_state_7163,Tangail,base.bd,Tangail
__export__.res_country_state_7164,Thakurgaon,base.bd,Thakurgaon
